gene_ID,chromosome,gene_length[bp],A_content[%],T_content[%],C_content[%],G_content[%],GC_content[%],category
35,YAL037C-A,1,93,38.70968,29.03226,19.35484,12.90323,32.258070000000004,"GC content below 
 length below"
36,YAL037W,1,804,32.71144,28.10945,20.39801,18.78109,39.1791,"GC content below 
 length below"
37,YAL038W,1,1503,27.74451,26.08117,24.1517,22.02262,46.17432,"GC content above 
 length above"
38,YAL039C,1,810,25.55556,21.35802,26.04938,27.03704,53.086420000000004,"GC content above 
 length below"
39,YAL040C,1,1743,28.91566,30.00574,25.87493,15.20367,41.0786,"GC content above 
 length above"
40,YAL041W,1,2565,33.41131,27.68031,20.93567,17.97271,38.908379999999994,"GC content below 
 length above"
41,YAL042W,1,1248,26.04167,24.35897,22.59615,27.00321,49.599360000000004,"GC content above 
 length above"
42,YAL043C,1,2358,30.02545,23.96098,24.80916,21.20441,46.01357,"GC content above 
 length above"
43,YAL044C,1,513,28.46004,23.19688,22.61209,25.73099,48.34308,"GC content above 
 length below"
44,YAL044W-A,1,333,29.42943,23.42342,23.12312,24.02402,47.14714,"GC content above 
 length below"
45,YAL046C,1,357,30.2521,21.56863,22.40896,25.77031,48.17927,"GC content above 
 length below"
46,YAL047C,1,1869,38.52327,24.93312,18.7801,17.76351,36.54361,"GC content below 
 length above"
47,YAL048C,1,1989,31.77476,28.30568,20.31171,19.60784,39.91955,"GC content above 
 length above"
48,YAL049C,1,741,29.28475,28.87989,19.4332,22.40216,41.835359999999994,"GC content above 
 length below"
49,YAL051W,1,3144,33.58779,29.10305,18.12977,19.17939,37.309160000000006,"GC content below 
 length above"
50,YAL053W,1,2352,26.78571,31.33503,21.81122,20.06803,41.87925,"GC content above 
 length above"
51,YAL054C,1,2142,27.0775,27.54435,22.82913,22.54902,45.37815,"GC content above 
 length above"
52,YAL055W,1,543,34.43831,23.20442,16.39042,25.96685,42.35727,"GC content above 
 length below"
53,YAL056W,1,2643,32.00908,28.49035,17.51797,21.9826,39.500569999999996,"GC content below 
 length above"
54,YAL058W,1,1509,30.68257,25.9112,20.74221,22.66402,43.40623,"GC content above 
 length above"
55,YAL059W,1,639,36.46322,23.16119,16.43192,23.94366,40.37558,"GC content above 
 length below"
56,YAL060W,1,1149,27.24108,27.76327,19.66928,25.32637,44.99565,"GC content above 
 length below"
57,YAL061W,1,1254,27.99043,23.60447,20.57416,27.83094,48.4051,"GC content above 
 length above"
58,YAL062W,1,1374,27.00146,24.30859,21.10626,27.5837,48.68996,"GC content above 
 length above"
59,YAL063C,1,3969,29.52885,25.82514,28.11791,16.52809,44.646,"GC content above 
 length above"
60,YAL063C-A,1,291,35.05155,36.76976,13.7457,14.43299,28.17869,"GC content below 
 length below"
61,YAL064C-A,1,381,26.24672,29.92126,22.57218,21.25984,43.83202,"GC content above 
 length below"
62,YAL064W,1,285,31.22807,31.92982,19.29825,17.54386,36.84211,"GC content below 
 length below"
63,YAL064W-B,1,381,25.45932,29.13386,18.3727,27.03412,45.406819999999996,"GC content above 
 length below"
64,YAL065C,1,387,29.71576,26.09819,22.99742,21.18863,44.18605,"GC content above 
 length below"
65,YAL067C,1,1782,30.41526,33.50168,15.71268,20.37037,36.08305,"GC content below 
 length above"
66,YAL067W-A,1,228,25.4386,33.33333,20.17544,21.05263,41.22807,"GC content above 
 length below"
67,YAL068C,1,363,25.89532,24.51791,29.75207,19.83471,49.586780000000005,"GC content above 
 length below"
68,YAR002C-A,1,660,28.63636,31.81818,17.72727,21.81818,39.54545,"GC content below 
 length below"
69,YAR002W,1,1620,35.37037,25.12346,21.04938,18.45679,39.50617,"GC content below 
 length above"
70,YAR003W,1,1281,30.83528,29.11788,17.25215,22.79469,40.04684,"GC content above 
 length above"
71,YAR007C,1,1866,33.01179,27.49196,19.45338,20.04287,39.49625,"GC content below 
 length above"
72,YAR008W,1,828,32.24638,28.50242,16.42512,22.82609,39.25121,"GC content below 
 length below"
73,YAR009C,1,3591,36.42439,26.37148,21.02478,16.17934,37.20412,"GC content below 
 length above"
74,YAR010C,1,1323,33.86243,25.09448,25.47241,15.57067,41.04308,"GC content above 
 length above"
75,YAR014C,1,2130,33.99061,24.3662,18.07512,23.56808,41.64319999999999,"GC content above 
 length above"
76,YAR015W,1,921,31.70467,24.97286,20.52117,22.8013,43.32247,"GC content above 
 length below"
77,YAR018C,1,1308,35.09174,25.61162,17.737,21.55963,39.29662999999999,"GC content below 
 length above"
78,YAR019C,1,2925,30.97436,28.92308,22.08547,18.01709,40.10256,"GC content above 
 length above"
79,YAR020C,1,168,23.80952,32.14286,23.80952,20.2381,44.047619999999995,"GC content above 
 length below"
80,YAR023C,1,540,30.74074,29.07407,20.0,20.18519,40.18519,"GC content above 
 length below"
81,YAR027W,1,708,30.9322,31.63842,17.79661,19.63277,37.42938,"GC content below 
 length below"
82,YAR028W,1,705,30.21277,28.36879,19.85816,21.56028,41.418440000000004,"GC content above 
 length below"
83,YAR029W,1,225,33.77778,28.88889,17.33333,20.0,37.333330000000004,"GC content below 
 length below"
84,YAR031W,1,897,31.54961,29.6544,18.39465,20.40134,38.79599,"GC content below 
 length below"
85,YAR033W,1,705,29.3617,29.50355,20.28369,20.85106,41.13475,"GC content above 
 length below"
86,YAR035C-A,1,81,24.69136,30.8642,23.45679,20.98765,44.44444,"GC content above 
 length below"
87,YAR035W,1,2064,22.67442,19.28295,32.84884,25.1938,58.042640000000006,"GC content above 
 length above"
88,YAR042W,1,3567,33.3894,22.59602,23.24082,20.77376,44.014579999999995,"GC content above 
 length above"
89,YAR050W,1,4614,29.41049,25.27091,28.26181,17.05678,45.31859,"GC content above 
 length above"
90,YAR064W,1,300,23.0,29.0,22.66667,25.33333,48.0,"GC content above 
 length below"
91,YAR066W,1,612,22.22222,30.88235,25.1634,21.73203,46.895430000000005,"GC content above 
 length below"
92,YAR068W,1,486,27.77778,24.89712,30.8642,16.46091,47.325109999999995,"GC content above 
 length below"
93,YAR071W,1,1404,29.77208,28.06268,21.43875,20.7265,42.16525,"GC content above 
 length above"
94,YBL001C,2,315,32.06349,28.57143,16.50794,22.85714,39.365080000000006,"GC content below 
 length below"
95,YBL002W,2,396,31.81818,26.51515,23.9899,17.67677,41.666669999999996,"GC content above 
 length below"
96,YBL003C,2,399,31.07769,27.81955,19.04762,22.05514,41.10276,"GC content above 
 length below"
97,YBL004W,2,7482,33.10612,31.38198,17.05426,18.45763,35.51189,"GC content below 
 length above"
98,YBL005W,2,2931,32.75333,31.21801,18.56022,17.46844,36.02866,"GC content below 
 length above"
99,YBL005W-A,2,1323,33.33333,25.62358,25.62358,15.4195,41.04308,"GC content above 
 length above"
100,YBL005W-B,2,5269,35.49061,26.17195,22.45208,15.88537,38.33745,"GC content below 
 length above"
101,YBL006C,2,543,29.28177,22.28361,22.65193,25.78269,48.434619999999995,"GC content above 
 length below"
102,YBL007C,2,3735,32.26238,24.3909,22.19545,21.15127,43.346720000000005,"GC content above 
 length above"
103,YBL008W,2,2523,33.01625,27.42767,17.91518,21.6409,39.556079999999994,"GC content below 
 length above"
104,YBL008W-A,2,240,35.41667,30.83333,17.91667,15.83333,33.75,"GC content below 
 length below"
105,YBL009W,2,2031,33.13639,28.80355,20.1871,17.87297,38.060069999999996,"GC content below 
 length above"
106,YBL010C,2,843,36.18031,25.7414,16.8446,21.23369,38.078289999999996,"GC content below 
 length below"
107,YBL011W,2,2280,31.14035,25.83333,21.22807,21.79825,43.02632,"GC content above 
 length above"
108,YBL013W,2,1206,27.36318,23.54892,24.62687,24.46103,49.087900000000005,"GC content above 
 length below"
109,YBL014C,2,2685,33.40782,27.33706,18.95717,20.29795,39.255120000000005,"GC content below 
 length above"
110,YBL015W,2,1581,28.3365,25.67995,22.01139,23.97217,45.98356,"GC content above 
 length above"
111,YBL016W,2,1062,29.84934,24.38795,23.91714,21.84557,45.76271,"GC content above 
 length below"
112,YBL017C,2,4740,32.32068,28.71308,17.8903,21.07595,38.96625,"GC content below 
 length above"
113,YBL018C,2,477,33.75262,30.81761,15.30398,20.12579,35.42977,"GC content below 
 length below"
114,YBL019W,2,1563,35.06078,27.5112,16.95457,20.47345,37.428020000000004,"GC content below 
 length above"
115,YBL020W,2,1725,28.17391,33.56522,19.13043,19.13043,38.26086,"GC content below 
 length above"
116,YBL021C,2,435,32.41379,19.54023,21.6092,26.43678,48.04598,"GC content above 
 length below"
117,YBL022C,2,3402,34.53851,24.77954,18.48912,22.19283,40.68195,"GC content above 
 length above"
118,YBL023C,2,2607,32.7196,27.27273,16.99271,23.01496,40.00767,"GC content above 
 length above"
119,YBL024W,2,2055,33.72263,27.59124,17.56691,21.11922,38.68613,"GC content below 
 length above"
120,YBL025W,2,438,35.84475,23.9726,17.12329,23.05936,40.18265,"GC content above 
 length below"
121,YBL026W,2,416,35.81731,30.04808,16.34615,17.78846,34.13461,"GC content below 
 length below"
122,YBL027W,2,954,33.54298,26.72956,17.92453,21.80294,39.72747,"GC content above 
 length below"
123,YBL028C,2,321,43.30218,19.93769,17.44548,19.31464,36.76012,"GC content below 
 length below"
124,YBL029C-A,2,285,32.2807,27.7193,21.40351,18.59649,40.0,"GC content above 
 length below"
125,YBL029W,2,1131,34.65959,27.40937,21.83908,16.09195,37.93103,"GC content below 
 length below"
126,YBL030C,2,957,24.86938,32.18391,19.64472,23.30199,42.946709999999996,"GC content above 
 length below"
127,YBL031W,2,1017,36.6765,23.50049,22.32055,17.50246,39.82301,"GC content above 
 length below"
128,YBL032W,2,1146,30.01745,23.73473,23.64747,22.60035,46.24782,"GC content above 
 length below"
129,YBL033C,2,1038,30.34682,21.6763,22.35067,25.6262,47.976870000000005,"GC content above 
 length below"
130,YBL034C,2,4542,36.01937,28.62175,18.53809,16.82078,35.358869999999996,"GC content below 
 length above"
131,YBL035C,2,2118,32.86119,27.71483,20.58546,18.83853,39.42399,"GC content below 
 length above"
132,YBL036C,2,774,35.40052,27.64858,14.98708,21.96382,36.9509,"GC content below 
 length below"
133,YBL037W,2,3078,32.94347,29.46719,18.71345,18.87589,37.58934,"GC content below 
 length above"
134,YBL038W,2,699,34.62089,25.75107,16.45207,23.17597,39.62804,"GC content below 
 length below"
135,YBL039C,2,1740,31.2069,28.62069,17.52874,22.64368,40.17242,"GC content above 
 length above"
136,YBL039W-B,2,180,34.44444,31.66667,16.66667,17.22222,33.88889,"GC content below 
 length below"
137,YBL040C,2,757,29.06209,33.6856,18.75826,18.49406,37.25232,"GC content below 
 length below"
138,YBL041W,2,726,31.95592,26.58402,18.73278,22.72727,41.46005,"GC content above 
 length below"
139,YBL042C,2,1920,26.5625,31.66667,20.05208,21.71875,41.770830000000004,"GC content above 
 length above"
140,YBL043W,2,774,32.29974,24.5478,22.09302,21.05943,43.15245,"GC content above 
 length below"
141,YBL044W,2,369,30.89431,21.95122,20.86721,26.28726,47.15447,"GC content above 
 length below"
142,YBL045C,2,1374,29.25764,28.6754,22.12518,19.94178,42.06696,"GC content above 
 length above"
143,YBL046W,2,1326,34.99246,24.20814,15.38462,25.41478,40.7994,"GC content above 
 length above"
144,YBL047C,2,4146,33.76749,24.89146,22.26242,19.07863,41.341049999999996,"GC content above 
 length above"
145,YBL049W,2,417,31.65468,29.25659,17.98561,21.10312,39.08873,"GC content below 
 length below"
146,YBL050W,2,995,32.86432,28.0402,14.77387,24.32161,39.09548,"GC content below 
 length below"
147,YBL051C,2,2007,34.77828,26.15845,23.36821,15.69507,39.06328,"GC content below 
 length above"
148,YBL052C,2,2496,38.5016,26.04167,16.38622,19.07051,35.45673,"GC content below 
 length above"
149,YBL054W,2,1578,33.96705,24.52471,23.13054,18.37769,41.50823,"GC content above 
 length above"
150,YBL055C,2,1257,31.34447,28.16229,17.97932,22.51392,40.49324,"GC content above 
 length above"
151,YBL056W,2,1407,30.84577,30.27719,15.77825,23.09879,38.87704,"GC content below 
 length above"
152,YBL057C,2,627,31.73844,25.35885,18.34131,24.5614,42.90271,"GC content above 
 length below"
153,YBL058W,2,1272,32.86164,22.95597,20.36164,23.82075,44.18239,"GC content above 
 length above"
154,YBL059C-A,2,415,35.90361,27.46988,16.14458,20.48193,36.626509999999996,"GC content below 
 length below"
155,YBL059W,2,651,36.40553,24.88479,18.58679,20.12289,38.709680000000006,"GC content below 
 length below"
156,YBL060W,2,2064,35.12597,27.08333,17.97481,19.81589,37.7907,"GC content below 
 length above"
157,YBL061C,2,2091,34.81588,25.87279,17.79053,21.5208,39.31133,"GC content below 
 length above"
158,YBL063W,2,3336,37.70983,26.13909,19.48441,16.66667,36.15108,"GC content below 
 length above"
159,YBL064C,2,786,31.55216,26.71756,20.86514,20.86514,41.73028,"GC content above 
 length below"
160,YBL066C,2,3447,32.14389,27.58921,22.39629,17.87061,40.2669,"GC content above 
 length above"
161,YBL067C,2,2244,35.0713,27.80749,17.1123,20.00891,37.121210000000005,"GC content below 
 length above"
162,YBL068W,2,981,31.39653,29.96942,17.63507,20.99898,38.63405,"GC content below 
 length below"
163,YBL069W,2,1290,31.47287,27.90698,18.06202,22.55814,40.62016,"GC content above 
 length above"
164,YBL071C-B,2,99,31.31313,36.36364,16.16162,16.16162,32.32324,"GC content below 
 length below"
165,YBL071W-A,2,249,28.11245,27.30924,21.28514,23.29317,44.57831,"GC content above 
 length below"
166,YBL072C,2,603,31.50912,24.87562,20.72968,22.88557,43.61525,"GC content above 
 length below"
167,YBL074C,2,1068,34.0824,27.90262,17.50936,20.50562,38.01498,"GC content below 
 length below"
168,YBL075C,2,1950,31.58974,26.82051,17.74359,23.84615,41.589740000000006,"GC content above 
 length above"
169,YBL076C,2,3219,30.59957,30.4753,17.86269,21.06244,38.925129999999996,"GC content below 
 length above"
170,YBL078C,2,354,31.63842,28.53107,16.66667,23.16384,39.830510000000004,"GC content above 
 length below"
171,YBL079W,2,4509,33.2668,29.43003,19.22821,18.07496,37.30317,"GC content below 
 length above"
172,YBL080C,2,1626,31.91882,26.93727,19.43419,21.70972,41.143910000000005,"GC content above 
 length above"
173,YBL081W,2,1107,32.06865,23.12556,30.71364,14.09214,44.80578,"GC content above 
 length below"
174,YBL082C,2,1377,22.87582,29.26652,24.47349,23.38417,47.85766,"GC content above 
 length above"
175,YBL084C,2,2277,33.46509,29.38076,20.07027,17.08388,37.15415,"GC content below 
 length above"
176,YBL085W,2,2943,35.57594,24.43085,21.33877,18.65443,39.9932,"GC content above 
 length above"
177,YBL086C,2,1401,36.47395,22.34118,20.62812,20.55675,41.184870000000004,"GC content above 
 length above"
178,YBL087C,2,918,29.41176,30.50109,20.04357,20.04357,40.08714,"GC content above 
 length below"
179,YBL088C,2,8364,33.70397,30.4878,17.45576,18.35246,35.808220000000006,"GC content below 
 length above"
180,YBL089W,2,1380,27.68116,33.55072,19.27536,19.49275,38.76811,"GC content below 
 length above"
181,YBL090W,2,534,37.64045,23.22097,16.10487,23.03371,39.13858,"GC content below 
 length below"
182,YBL091C,2,1266,32.78041,23.85466,19.58926,23.77567,43.36493,"GC content above 
 length above"
183,YBL091C-A,2,616,31.33117,25.32468,20.12987,23.21429,43.34416,"GC content above 
 length below"
184,YBL092W,2,393,30.7888,24.93639,23.15522,21.11959,44.27481,"GC content above 
 length below"
185,YBL093C,2,663,34.38914,21.26697,21.87029,22.4736,44.34389,"GC content above 
 length below"
186,YBL095W,2,813,28.16728,28.65929,17.58918,25.58426,43.17344,"GC content above 
 length below"
187,YBL097W,2,2265,37.52759,24.67991,15.27594,22.51656,37.7925,"GC content below 
 length above"
188,YBL098W,2,1383,31.8872,29.50108,18.36587,20.24584,38.61171,"GC content below 
 length above"
189,YBL099W,2,1638,25.51893,30.83028,20.57387,23.07692,43.65079,"GC content above 
 length above"
190,YBL100W-A,2,1317,36.44647,25.36067,23.46241,14.73045,38.192859999999996,"GC content below 
 length above"
191,YBL100W-B,2,5314,36.95898,26.10087,21.2834,15.65676,36.94016,"GC content below 
 length above"
192,YBL100W-C,2,120,30.0,34.16667,15.83333,20.0,35.833330000000004,"GC content below 
 length below"
193,YBL101C,2,3354,33.24389,25.34287,21.97376,19.43948,41.41324,"GC content above 
 length above"
194,YBL102W,2,648,23.30247,31.94444,21.91358,22.83951,44.75309,"GC content above 
 length below"
195,YBL103C,2,1461,34.83915,25.46201,20.32854,19.37029,39.69883,"GC content above 
 length above"
196,YBL104C,2,3117,33.55791,27.39814,17.58101,21.46295,39.04396,"GC content below 
 length above"
197,YBL105C,2,3456,34.60648,26.53356,18.72106,20.13889,38.85995,"GC content below 
 length above"
198,YBL106C,2,3033,32.11342,28.94824,18.79327,20.14507,38.93834,"GC content below 
 length above"
199,YBL107C,2,591,39.08629,23.51946,15.39763,21.99662,37.39425,"GC content below 
 length below"
200,YBL108C-A,2,129,27.90698,23.25581,27.90698,20.93023,48.83721,"GC content above 
 length below"
201,YBL111C,2,2103,29.00618,26.05801,20.54208,24.39372,44.9358,"GC content above 
 length above"
202,YBL112C,2,318,32.7044,24.5283,15.72327,27.04403,42.7673,"GC content above 
 length below"
203,YBL113C,2,2379,31.18958,21.94199,24.08575,22.78268,46.868430000000004,"GC content above 
 length above"
204,YBR001C,2,2343,32.43705,28.25437,16.81605,22.49253,39.30858,"GC content below 
 length above"
205,YBR002C,2,861,31.35889,26.48084,16.49245,25.66783,42.16028,"GC content above 
 length below"
206,YBR003W,2,1422,31.08298,28.41069,20.25316,20.25316,40.50632,"GC content above 
 length above"
207,YBR004C,2,1302,28.26421,37.4808,18.12596,16.12903,34.25499,"GC content below 
 length above"
208,YBR005W,2,642,29.12773,23.98754,21.33956,25.54517,46.88473,"GC content above 
 length below"
209,YBR006W,2,1494,29.51807,29.71888,18.4739,22.28916,40.763059999999996,"GC content above 
 length above"
210,YBR007C,2,2211,36.31841,25.19222,20.89552,17.59385,38.48937,"GC content below 
 length above"
211,YBR008C,2,1647,24.40801,34.36551,19.73285,21.49362,41.22647,"GC content above 
 length above"
212,YBR009C,2,312,30.12821,27.24359,16.98718,25.64103,42.628209999999996,"GC content above 
 length below"
213,YBR010W,2,411,32.84672,23.84428,21.6545,21.6545,43.309,"GC content above 
 length below"
214,YBR011C,2,864,31.71296,25.69444,22.33796,20.25463,42.59259,"GC content above 
 length below"
215,YBR012W-A,2,1323,33.71126,25.32124,25.548,15.4195,40.9675,"GC content above 
 length above"
216,YBR012W-B,2,5272,35.47041,26.21396,22.4393,15.87633,38.31563,"GC content below 
 length above"
217,YBR013C,2,390,32.5641,34.35897,15.64103,17.4359,33.076930000000004,"GC content below 
 length below"
218,YBR014C,2,612,34.15033,26.79739,17.97386,21.07843,39.05229,"GC content below 
 length below"
219,YBR015C,2,1794,31.04794,27.31327,20.17837,21.46042,41.63879,"GC content above 
 length above"
220,YBR016W,2,387,32.29974,17.05426,29.45736,21.18863,50.64599,"GC content above 
 length below"
221,YBR017C,2,2757,31.51977,29.52485,17.4465,21.50889,38.95539,"GC content below 
 length above"
222,YBR018C,2,1101,31.78928,29.88193,19.70936,18.61944,38.3288,"GC content below 
 length below"
223,YBR019C,2,2100,30.14286,29.66667,17.95238,22.2381,40.19048,"GC content above 
 length above"
224,YBR020W,2,1587,28.10334,30.43478,19.59672,21.86515,41.461870000000005,"GC content above 
 length above"
225,YBR021W,2,1902,26.02524,34.0694,19.29548,20.60988,39.90536,"GC content above 
 length above"
226,YBR022W,2,534,34.45693,27.52809,17.22846,20.78652,38.014979999999994,"GC content below 
 length below"
227,YBR023C,2,3498,30.01715,30.81761,18.23899,20.92624,39.16523,"GC content below 
 length above"
228,YBR024W,2,906,31.89845,28.1457,17.88079,22.07506,39.95585,"GC content above 
 length below"
229,YBR025C,2,1185,31.30802,29.11392,17.72152,21.85654,39.57806,"GC content below 
 length below"
230,YBR026C,2,1143,33.07087,28.25897,18.19773,20.47244,38.67017,"GC content below 
 length below"
231,YBR028C,2,1578,33.96705,27.82003,17.80735,20.40558,38.21293,"GC content below 
 length above"
232,YBR029C,2,1374,28.74818,32.75109,19.869,18.63173,38.500730000000004,"GC content below 
 length above"
233,YBR030W,2,1659,32.48945,27.0645,18.38457,22.06148,40.44605,"GC content above 
 length above"
234,YBR031W,2,1089,25.34435,26.53811,24.60973,23.50781,48.11754,"GC content above 
 length below"
235,YBR033W,2,2760,33.80435,27.53623,19.02174,19.63768,38.65942,"GC content below 
 length above"
236,YBR034C,2,1047,31.23209,28.17574,19.38873,21.20344,40.592169999999996,"GC content above 
 length below"
237,YBR035C,2,687,32.60553,24.01747,20.52402,22.85298,43.376999999999995,"GC content above 
 length below"
238,YBR036C,2,1233,25.46634,31.14355,21.33009,22.06002,43.39011,"GC content above 
 length above"
239,YBR037C,2,888,28.49099,26.57658,20.38288,24.54955,44.93243,"GC content above 
 length below"
240,YBR038W,2,2892,29.21853,30.46335,19.98617,20.33195,40.31812,"GC content above 
 length above"
241,YBR039W,2,936,33.01282,27.88462,19.33761,19.76496,39.10257,"GC content below 
 length below"
242,YBR040W,2,897,30.65775,34.44816,17.94872,16.94537,34.894090000000006,"GC content below 
 length below"
243,YBR041W,2,2010,30.79602,31.49254,17.8607,19.85075,37.71145,"GC content below 
 length above"
244,YBR042C,2,1194,31.9933,30.90452,17.8392,19.26298,37.102180000000004,"GC content below 
 length below"
245,YBR043C,2,2070,30.24155,28.84058,19.27536,21.64251,40.91787,"GC content above 
 length above"
246,YBR044C,2,1719,34.43863,26.46888,18.78999,20.3025,39.09249,"GC content below 
 length above"
247,YBR045C,2,1920,36.51042,26.97917,16.30208,20.20833,36.51041,"GC content below 
 length above"
248,YBR046C,2,1005,32.53731,28.45771,17.31343,21.69154,39.00497,"GC content below 
 length below"
249,YBR047W,2,528,35.60606,27.65152,18.18182,18.56061,36.74243,"GC content below 
 length below"
250,YBR048W,2,982,34.52138,26.98574,20.26477,18.22811,38.49288,"GC content below 
 length below"
251,YBR049C,2,2433,37.19688,24.08549,18.16687,20.55076,38.71763,"GC content below 
 length above"
252,YBR050C,2,1017,34.80826,26.05703,18.6824,20.45231,39.13471,"GC content below 
 length below"
253,YBR052C,2,633,30.0158,25.75039,18.32543,25.90837,44.2338,"GC content above 
 length below"
254,YBR053C,2,1077,30.54782,30.45497,16.99164,22.00557,38.997209999999995,"GC content below 
 length below"
255,YBR054W,2,1035,27.343,31.98068,19.61353,21.0628,40.67633,"GC content above 
 length below"
256,YBR055C,2,2700,35.81481,26.88889,16.66667,20.62963,37.2963,"GC content below 
 length above"
257,YBR056W,2,1506,32.73572,28.95086,16.46746,21.84595,38.31341,"GC content below 
 length above"
258,YBR056W-A,2,201,27.8607,29.35323,21.89055,20.89552,42.78607,"GC content above 
 length below"
259,YBR057C,2,1101,38.14714,23.43324,19.07357,19.34605,38.41962,"GC content below 
 length below"
260,YBR058C,2,2346,33.54646,28.6445,18.15857,19.65047,37.809039999999996,"GC content below 
 length above"
261,YBR058C-A,2,243,30.45267,34.5679,18.93004,16.04938,34.979420000000005,"GC content below 
 length below"
262,YBR059C,2,3327,34.50556,25.1578,20.31861,20.01803,40.33664,"GC content above 
 length above"
263,YBR060C,2,1863,36.07085,25.33548,19.91412,18.67955,38.59367,"GC content below 
 length above"
264,YBR061C,2,933,31.18971,28.403,19.2926,21.11468,40.40728,"GC content above 
 length below"
265,YBR062C,2,625,34.56,26.72,18.08,20.64,38.72,"GC content below 
 length below"
266,YBR063C,2,1215,35.06173,29.71193,16.54321,18.68313,35.22633999999999,"GC content below 
 length below"
267,YBR065C,2,1095,36.07306,26.66667,17.53425,19.72603,37.26028,"GC content below 
 length below"
268,YBR066C,2,663,37.40573,24.58522,19.00452,19.00452,38.00904,"GC content below 
 length below"
269,YBR067C,2,633,20.06319,32.22749,28.75197,18.95735,47.709320000000005,"GC content above 
 length below"
270,YBR068C,2,1830,26.8306,32.95082,18.9071,21.31148,40.21858,"GC content above 
 length above"
271,YBR069C,2,1860,27.09677,31.12903,20.16129,21.6129,41.774190000000004,"GC content above 
 length above"
272,YBR070C,2,714,28.9916,31.65266,17.36695,21.9888,39.35575,"GC content below 
 length below"
273,YBR071W,2,636,33.96226,22.64151,24.0566,19.33962,43.39622,"GC content above 
 length below"
274,YBR072C-A,2,162,34.5679,26.54321,19.75309,19.1358,38.88889,"GC content below 
 length below"
